Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR272384,2013-05-17 07:40:54,2013-05-17 07:40:54,233565,106733703,0,456,250,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272384/ERR272384.sra,ERX246660,unspecified,WGS,RANDOM,GENOMIC,PAIRED,3000,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DUKE,ERA212488,,public,6877904EBDCE8984069A6475F3F83C97,80B32FFCB72A9B789E27264B1A12F211
ERR272385,2013-05-17 07:40:54,2013-05-17 07:40:54,662316,305995163,0,462,706,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272385/ERR272385.sra,ERX246661,unspecified,WGS,RANDOM,GENOMIC,PAIRED,3000,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DUKE,ERA212488,,public,F161FD424FAAE5D04CE724D37DD0E3DB,61B4B8661591B4AC5DDB50ED4D39E126
ERR272347,2013-05-15 07:25:15,2013-05-15 07:25:15,488649,251755193,0,515,581,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272347/ERR272347.sra,ERX246623,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,5D5DA8CD8F640AFDDC88CDFCBB335262,090CC4223B35D4A9819552218B0862C4
ERR272346,2013-05-15 07:25:15,2013-05-15 07:25:15,514549,264863838,0,514,607,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272346/ERR272346.sra,ERX246622,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,C096C37C0DC8862817073E10772BA9EC,79EE6F5E990C95A587D9F48DE00D439B
ERR272345,2013-05-15 07:25:15,2013-05-15 07:25:15,347731,181861831,0,522,422,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272345/ERR272345.sra,ERX246621,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,4A95F6B3E015520BDA101184F437BC3F,671DDDC31D24D5468D01F9D28F7BCFED
ERR272344,2013-05-15 07:25:15,2013-05-15 07:25:15,354587,185319207,0,522,431,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272344/ERR272344.sra,ERX246620,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX Titanium,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,3C68F6D39777522F8DAF7643157A5EFD,5F684998D7DEA78DD727613E17845696
ERR272343,2013-05-15 07:25:15,2013-05-15 07:25:15,660888,736689265,0,1114,1607,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272343/ERR272343.sra,ERX246619,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX+,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,9C927D2B63A3A80CBB58257740276FB8,5861DE3DA7BCEE0C74DD9FA5F6D5A84C
ERR272342,2013-05-15 07:25:15,2013-05-15 07:25:15,632288,712758135,0,1127,1548,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272342/ERR272342.sra,ERX246618,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX+,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,F7AF63B9EC9F2DE43F5E49254888A8CE,F2B38C1F5F25646903C30E05E6AAD055
ERR272341,2013-05-15 07:25:15,2013-05-15 07:25:15,651744,722415680,0,1108,1580,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272341/ERR272341.sra,ERX246617,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX+,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,C77629B2948FD7A31588D20AEDF6D72A,D46B1E65AE4CC48F2E18EE70EB70017A
ERR272340,2013-05-15 07:25:15,2013-05-15 07:25:15,622035,700813650,0,1126,1530,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR272/ERR272340/ERR272340.sra,ERX246616,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,LS454,454 GS FLX+,ERP002324,Melopsittacus_undulatus_WGS,0,205798,ERS222880,SAMEA1713774,13146,Melopsittacus undulatus,budgerigar,,,,,male,,no,,,,,DukeUniversity,ERA212360,,public,4C43AC0FC37B7F2CFAC8A66027C74E15,53CB8296C69ECE2318E16AEF367C44A4
